Title,Property Type,Price,Location,Bedrooms,Bathrooms,Size,Amenities,Surroundings,Created At,URL
3 Bed Townhouse with En Suite at Dagoretti Road,Townhouse,"KSh 22,500,000","Gikambura, Kikuyu",3 Bedrooms,3 Bathrooms,223 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",21 January 2026,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-gikambura-3899840
4 Bed House in Kiambu Road,House,"KSh 78,000,000",Kiambu Road,4 Bedrooms,N/A,N/A,,,05 December 2025,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3878131
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 160,000,000",Lavington,6 Bedrooms,7 Bathrooms,450 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Gym, Kids Play Area, Parking, Balcony, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, School, Scenic View",06 February 2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3913814
4 Bed House with En Suite at Apple Cross,House,"KSh 130,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, Fibre Internet, En Suite, Walk In Closet, Balcony, Parking, Staff Quarters, Wheelchair Access, Borehole, Garden, Electric Fence, CCTV, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3925614
2 Bed Villa with En Suite at Tembo Court,Villa,"KSh 21,000,000",Malindi,2 Bedrooms,3 Bathrooms,506 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Furnished, Serviced, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Kids Play Area, Gated Community, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",17 February 2026,https://www.buyrentkenya.com/listings/furnished-2-bedroom-villa-for-sale-malindi-3924679
5 Bed Townhouse with En Suite in Runda,Townhouse,"KSh 135,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,500 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3925606
4 Bed Villa with En Suite at Apple Cross,Villa,"KSh 130,000,000",Lavington,4 Bedrooms,5 Bathrooms,475 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-lavington-3925565
5 Bed House with En Suite in Nyari,House,"KSh 130,000,000","Nyari, Westlands",5 Bedrooms,N/A,1/2 acre,"Backup Generator, En Suite, Fibre Internet, Service Charge Included",,18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-nyari-3925374
6 Bed Villa with En Suite at Hardy,Villa,"KSh 120,000,000",Karen Hardy,6 Bedrooms,7 Bathrooms,1 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access, Kids Play Area","Bus Stop, Hospital, Golf Course, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-karen-hardy-3925388
4 Bed Townhouse with En Suite at Fana Road,Townhouse,"KSh 80,000,000",Karen,4 Bedrooms,5 Bathrooms,399 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Gated Community, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Golf Course, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3925359
4 Bed House with En Suite in Kitengela,House,"KSh 27,000,000",Kitengela,4 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gated Community, Parking, Gym, Kids Play Area, Staff Quarters","Shopping Centre, Bus Stop, Scenic View, School, Hospital",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3925325
4 Bed House with En Suite in Kitengela,House,"KSh 27,000,000",Kitengela,4 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Service Charge Included, Balcony, CCTV, BBQ, Electric Fence, Borehole, Gated Community, Garden, Parking, Staff Quarters, Gym, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-3925319
5 Bed Villa with En Suite at Chalbi Drive,Villa,"KSh 100,000,000",Lavington,5 Bedrooms,6 Bathrooms,3150 sqm,"Alarm, Backup Generator, Fibre Internet, En Suite, Walk In Closet, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Garden, Gated Community, CCTV, Parking, BBQ, Balcony, Gym, Kids Play Area","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3925191
4 Bed House with En Suite at Rosslyn,House,"KSh 85,000,000","Rosslyn, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-rosslyn-3925242
5 Bed Villa with En Suite in Lavington,Villa,"KSh 55,000,000",Lavington,5 Bedrooms,5 Bathrooms,395 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3925256
6 Bed Townhouse with En Suite in Lower Kabete,Townhouse,"KSh 255,000,000","Lower Kabete, Westlands",6 Bedrooms,6 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lower-kabete-3925185
4 Bed House in Kitisuru,House,Price not communicated,"Kitisuru, Westlands",4 Bedrooms,N/A,0.8 acre,,,18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3925154
5 Bed House with En Suite in Karen,House,"KSh 102,000,000",Karen,5 Bedrooms,5 Bathrooms,450 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3925174
4 Bed Townhouse with En Suite in Karen,Townhouse,"KSh 80,000,000",Karen,4 Bedrooms,5 Bathrooms,399 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, Kids Play Area, CCTV, Staff Quarters, Electric Fence, Wheelchair Access, Garden, Gated Community","Bus Stop, Shopping Centre, Golf Course, Hospital, Scenic View, School",16 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3923327
4 Bed Townhouse with En Suite at Chalbi Rd,Townhouse,"KSh 70,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A,"Backup Generator, Walk In Closet, Service Charge Included, Fibre Internet, En Suite, Staff Quarters, CCTV, Electric Fence, Borehole, Gated Community, Garden, Balcony, Parking, Kids Play Area","Bus Stop, Shopping Centre, Hospital, School, Scenic View",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3925150
5 Bed House with En Suite in Lower Kabete,House,"KSh 135,000,000","Lower Kabete, Westlands",5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lower-kabete-3925138
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Balcony, BBQ, Gym, Kids Play Area, Parking, CCTV, Electric Fence, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3925124
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, Gym, Parking, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access, Kids Play Area","Bus Stop, Shopping Centre, Scenic View, School, Hospital",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3925127
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Kids Play Area, Gym, Electric Fence, CCTV, Swimming Pool, Wheelchair Access, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, School, Scenic View",18 February 2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3925129
4 Bed House with En Suite in Karen,House,"KSh 130,000,000",Karen,4 Bedrooms,4 Bathrooms,492 sqm,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3925093
4 Bed House with En Suite in Runda,House,"KSh 155,040,000","Runda, Westlands",4 Bedrooms,5 Bathrooms,0.5 acre,"Alarm, Backup Generator, En Suite, Walk In Closet, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, CCTV, Electric Fence, Borehole, Garden, Gated Community","Bus Stop, Shopping Centre, Hospital, Scenic View, School, Golf Course",21 October 2025,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3862385
4 Bed House with En Suite in Westlands Area,House,"KSh 105,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,1/4 acre,"Backup Generator, En Suite, Fibre Internet, Walk In Closet, Staff Quarters, Swimming Pool, Borehole, Garden, Gated Community, Kids Play Area, Gym, Balcony","Shopping Centre, Bus Stop, Hospital, School",11 January 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-westlands-area-3890696
4 Bed Villa with En Suite at Muhuri Road Off Waiyaki Way,Villa,"KSh 25,000,000","Westlands Area, Westlands",4 Bedrooms,5 Bathrooms,360 sqm,"En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Gym, Swimming Pool, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",11 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-westlands-area-3918619
4 Bed House with En Suite in Spring Valley,House,"KSh 50,000,000","Spring Valley, Westlands",4 Bedrooms,4 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-spring-valley-3925031
7 Bed House with En Suite in Karen,House,"KSh 165,000,000",Karen,7 Bedrooms,7 Bathrooms,516 sqm,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Gated Community, Staff Quarters, Parking, Gym, Kids Play Area","Bus Stop, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-karen-3924998
5 Bed Townhouse with En Suite at Kitisuru,Townhouse,"KSh 125,000,000","Kitisuru, Westlands",5 Bedrooms,5 Bathrooms,300 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3924973
3 Bed Townhouse with En Suite in Lower Kabete,Townhouse,"KSh 85,000,000","Lower Kabete, Westlands",3 Bedrooms,3 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Swimming Pool, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",18 February 2026,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-lower-kabete-3924901
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 73,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, BBQ, Parking, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924505
5 Bed House with En Suite in Westlands Area,House,"KSh 98,000,000","Westlands Area, Westlands",5 Bedrooms,5 Bathrooms,N/A,"Alarm, Backup Generator, En Suite, Fibre Internet, Balcony, Parking, BBQ, Staff Quarters, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-westlands-area-3924564
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 69,000,000",Lavington,5 Bedrooms,5 Bathrooms,350–400 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924776
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 110,000,000",Lavington,5 Bedrooms,6 Bathrooms,756 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Hospital, Golf Course, Bus Stop, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924774
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 70,000,000",Lavington,5 Bedrooms,6 Bathrooms,1 acre,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",18 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924772
4 Bed House with Swimming Pool in Garden Estate,House,"KSh 90,000,000","Garden Estate, Roysambu",4 Bedrooms,5 Bathrooms,N/A,"Swimming Pool, Gated Community, Garden",,17 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-garden-estate-3924762
6 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 195,000,000",Lavington,6 Bedrooms,7 Bathrooms,670 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3924751
4 Bed Townhouse with Garden in Kiambu Road,Townhouse,"KSh 34,000,000",Kiambu Road,4 Bedrooms,4 Bathrooms,N/A,"Gated Community, Garden",,17 February 2026,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3924719
5 Bed Townhouse with En Suite in Kileleshwa,Townhouse,"KSh 70,000,000",Kileleshwa,5 Bedrooms,6 Bathrooms,402 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kileleshwa-3924747
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 60,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A,"Aircon, Alarm, En Suite, Fibre Internet, Service Charge Included, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924746
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 75,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Alarm, Service Charge Included, Backup Generator, Walk In Closet, En Suite, Fibre Internet, Balcony, BBQ, Parking, Kids Play Area, Gym, CCTV, Electric Fence, Borehole, Gated Community, Garden, Wheelchair Access","Bus Stop, Shopping Centre, Hospital, Scenic View, School",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3923881
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A,"Aircon, Service Charge Included, Alarm, Backup Generator, Walk In Closet, Fibre Internet, En Suite, Balcony, BBQ, Gym, Kids Play Area, Parking, CCTV, Electric Fence, Borehole, Wheelchair Access, Gated Community, Garden","Bus Stop, Shopping Centre, Hospital, Scenic View, School",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3923883
5 Bed Townhouse with En Suite in Lavington,Townhouse,"KSh 97,000,000",Lavington,5 Bedrooms,6 Bathrooms,756 sqm,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access, Gated Community, Kids Play Area","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",17 February 2026,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3924741
